name,CS-SINS Score,SMP Score,OVA Score,CS-SINS Label,SMP Label,OVA Label,CS-SINS STDEV,SMP STDEV,VL v_gene simple,VH v_gene simple,Heavy chain,Light chain,Platform,Target,Formulation pH,Clearance,Viscosity,Formulation pH FDA label,Formulation concentration FDA label (mg/mL),Buffer FDA label,Additives (binary),Ionic additives,Non-ionic additives,Clearance,Type,Type count
abituzumab,0.88659319,0.073219791,0.046336897,0,0,0,0.071739159,0.069431329,IGKV1,IGHV1,G2,kappa,humanized mouse,integrin alpha-V,7.4,3.52,,,,,,,,3.52,1,23
atezolizumab,0.659283081,0.000557147,-0.001833444,0,0,0,0.065011821,0.000466186,IGKV1,IGHV3,G1,kappa,human,PDL-1,5.8,3.16,22.3,5.8,60,histidine,yes,0,1,3.16,1,23
brentuximab,-0.157539042,0.670987713,0.008104695,0,0,0,0.038478351,0.053713234,IGKV3,IGHV1,G1,kappa,chimeric human/mouse,CD30,6.6,22.19,,6.6,5,citrate,yes,0,1,22.19,2,25
brodalumab,-0.094289068,0.948417093,1.009022869,0,0,0,0.047024074,0.021001377,IGKV3,IGHV1,G2,kappa,human - transgenic mouse,IL-17a,4.8,2.99,,4.8,140,glutamate,yes,0,1,2.99,2,25
carlumab,0.96508107,0.740030551,0.001981872,0,0,0,0.044197516,0.032698524,IGKV3,IGHV1,G1,kappa,human - phage display,MCP-1,,12.82,,,,,,,,12.82,3,11
crenezumab,2.022593013,0.004247794,0.002614104,0,0,0,0.103559271,0.001209631,IGKV2,IGHV3,G4,kappa,humanized mouse,Amyloid Abeta,,,,,,,,,,,1,23
duligotuzumab,0.22872073,0.450393696,0.001153894,0,0,0,0.00127522,0.056296233,IGKV1,IGHV3,G1,kappa,human - phage display,EGFR,,6.38,,,,,,,,6.38,2,25
elotuzumab,2.003944293,0,0,0,0,0,0.08153179,0,IGKV1,IGHV4,G1,kappa,humanized mouse,SLAM7,5.5,5.95,,6,20,histidine,yes,0,1,5.95,1,23
emibetuzumab,0.08697089,0.581395349,1.041666667,0,0,0,0.03410348,0.045778061,IGKV1,IGHV1,G4,kappa,humanized mouse,HGFR,5.5,4.02,,,,,,,,4.02,2,25
ficlatuzumab,0.541867994,0.008055241,0.021770201,0,0,0,0.073950925,0.000576986,IGKV6,IGHV1,G1,kappa,humanized mouse,HGF,5.8,5.07,,,,,,,,5.07,1,23
ganitumab,0.105375238,0.98053039,0.857868877,0,0,0,0.012167919,0.161463914,IGKV2,IGHV4,G1,kappa,human - phage display,IGF-1R,,12.59,10.9,,,,,,,12.59,2,25
golimumab,0.111946543,0.004390394,0.069463658,0,0,0,0.041519623,0.001607835,IGKV3,IGHV3,G1,kappa,human - transgenic mouse,TNF-a,5.5,6.47,7.6,5.5,12.5,histidine,yes,0,1,6.47,0,21
ibalizumab,0.493875431,0.000679934,0.007985596,0,0,0,0.019771474,0.000215735,IGKV4,,G4,kappa,humanized mouse,CD4,,,,6,150,histidine,yes,1,1,,1,23
ixekizumab,0.172830837,0.999627756,1.085553594,0,0,0,0.018938953,0,IGKV2D,IGHV1,G4,kappa,humanized mouse,IL-17a,,,,6,80,citrate,yes,0,1,,2,25
lenzilumab,0.034843477,0.712314855,0.992004936,0,0,0,0.007647858,0.027396288,IGKV3,IGHV1,G1,kappa,humanized mouse,GMCSF,,,,,,,,,,,2,25
matuzumab,2.131961138,0.075351874,-0.001418865,0,0,0,0.084161715,0.007386391,IGKV1,IGHV1,G1,kappa,humanized mouse,EGFR,,5.58,,,,,,,,5.58,1,23
mepolizumab,0.246642575,0.000775001,0.003205542,0,0,0,0.011770526,0.000185274,IGKV4,IGHV2,G1,kappa,humanized mouse,IL5,7,2.48,,6.3,100,citrate,yes,0,1,2.48,0,21
